Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,VALORA4,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,APRENDIZAJE1,APRENDIZAJE2
4/19/2023 11:53:47,"ITT,IST,IT",4,8.00,4.00,2,2,2,2,Animacion3D,B,Acierto,D,Fallo,C,Acierto,B,Acierto,C,Acierto,Sirve para mandar de una manera fiable y bidireccional una serie de datos ,"Bajo mi humilde opinion, sí",
4/19/2023 11:54:08,"ITT,IST,IT",3,6.00,4.50,3,3,2,1,Animacion3D,B,Acierto,A,Acierto,C,Acierto,A,Fallo,A,Fallo,para el envio de  datos de forma fiable sin ningun inconveniente por la ruta ni perdida ni desorden de datos cuando se reciba,si aunque todavia me queda bastante para comprenderla al 100%,
4/19/2023 11:55:06,"ITT,IST,IT",2,4.00,2.00,1,1,1,1,GafasVR,D,Fallo,B,Fallo,C,Acierto,A,Fallo,C,Acierto,"Para poder enviar una secuencia de datos a otra máquina, sin tener que pasar por routers para establecer la conexión","Es mucho más visual la manera de comprender el procedimiento. Por lo tanto, veo muy bien que se hagan este tipo de actividades, complementandolas con las clases de teoria.",
4/19/2023 11:56:09,"ITT,IST,IT",3,6.00,5.50,3,2,3,3,Animacion3D,B,Acierto,B,Fallo,C,Acierto,A,Fallo,C,Acierto,Sirve para establecer una conexion extremo a extremo,,
4/19/2023 11:56:15,"ITT,IST,IT",4,8.00,10.00,5,5,5,5,Diapositivas,B,Acierto,A,Acierto,B,Fallo,B,Acierto,C,Acierto,"Para transmitir los datos de manera segura, por el tema de que hay una probabilidad de que no les ha llegado los datos a su destino y ordenada para transmitir los datos en un orden específico para evitar recibir datos desordenados que puede traer problemas al transmitir. ",,Me hubiera gustado haber visto un ejemplo en vivo para verlo mejor pero es suficiente si lo entiendes bien.
4/19/2023 11:57:56,"ITT,IST,IT",1,2.00,5.50,3,3,3,2,Animacion3D,A,Fallo,C,Fallo,C,Acierto,A,Fallo,A,Fallo,.,"Si me ha ayudado, el aprendizaje es mas visual",
4/19/2023 11:58:34,"ITT,IST,IT",0,0.00,5.50,3,2,3,3,GafasVR,D,Fallo,C,Fallo,B,Fallo,A,Fallo,B,Fallo,"Para poder iniciar el diálogo y poder proseguir con el envío de mensajes desde el origen hasta el destino, enviando un cierto número de bytes y estableciendo unos ciertos flgas. Esto es mediante el asentimiento, porque sin el asentimiento la función se detiene.","Creo que siempre ayuda un poco ver la animación al verlo de manera más visual que con la teoría, aunque en mi caso me he liado un poco con la primera animación respecto a la segunda animación.",
4/19/2023 11:59:32,"ITT,IST,IT",3,6.00,3.50,2,2,1,2,GafasVR,A,Fallo,A,Acierto,C,Acierto,B,Acierto,B,Fallo,Para determinar el origen y destino de los datos que se van a enviar de forma segura.,"Prefiero directamente hacerlo yo con netgui, y verlo en wireshark, me aclara más las ideas.",
4/19/2023 12:00:42,"ITT,IST,IT",1,2.00,5.00,2,3,2,3,Diapositivas,B,Acierto,C,Fallo,B,Fallo,C,Fallo,A,Fallo,Para poder enviar y recibir datos y comunicarse,,
4/19/2023 12:00:54,"ITT,IST,IT",4,8.00,8.50,4,4,4,5,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,D,Fallo,"El establecimiento de conexión en TCP sirve para controlar el flujo de segmentos durante la conexión. Al establecerse la conexión se envía los números de secuencia iniciales de cada equipo, lo que permite calcular los asentimientos cuando reciban los segmentos de datos. Si no tuvieran los números de secuencia iniciales, no se podrían calcular los asentimientos de forma fiable, por lo que TCP no cumpliría con su función de ser fiable y orientado a la conexión. ","Si, considero que la animación me ha ayudado para asentar los conceptos de TCP. Sobre todo, lo que en mi opinión más me ha ayudado es la posibilidad de parar los paquetes y analizarlos durante el transcurso de la comunicación.",
4/19/2023 12:01:17,"ITT,IST,IT",1,2.00,7.50,4,3,4,4,GafasVR,D,Fallo,B,Fallo,C,Acierto,A,Fallo,B,Fallo,Para controlar el acceso de los diferentes procesos de la máquina a la red a través de los distintos puertos.,"si, se ve de forma más visual.",
4/19/2023 12:01:21,"ITT,IST,IT",5,10.00,6.00,3,3,3,3,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Para el envío de datos entre máquinas de extremo a extremo, para el intercambio de datos entre dos aplicaciones de dos máquinas distintas.","Creo que sí, además creo que comprende mejor los contenidos en la animación ya sea con las gafas o en el ordenador que en las transparencias de clase.",
4/19/2023 12:02:48,"ITT,IST,IT",4,8.00,7.00,4,3,3,4,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,Para que dos maquinas se pongan de acuerdo para intercambiar mensajes (sevidor-cliente),"Si me ha ayudado ha visualizar mejor los mensajes intercambiados
",
4/19/2023 12:06:35,"ITT,IST,IT",1,2.00,4.50,3,2,2,2,GafasVR,A,Fallo,A,Acierto,B,Fallo,A,Fallo,D,Fallo,,,
4/19/2023 12:07:12,"ITT,IST,IT",3,6.00,2.00,1,1,1,1,Animacion3D,B,Acierto,B,Fallo,B,Fallo,B,Acierto,C,Acierto,Sirve para enviar una serie de datos de manera segura y bidireccional,Me ha ayudado todo bastante en general.,
4/19/2023 12:12:19,"ITT,IST,IT",4,8.00,6.50,3,3,3,4,Animacion3D,A,Fallo,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Sirve para establecer el protocolo de la conexión, esto incluye el número inicial de segmento (SEG) y asentimiento (ACK) de cada máquina. ",Las características gráficas están bien hechas y me han permitido entender la animación. Por favor meted un botón de paso hacia atrás.,
4/19/2023 12:13:03,"ITT,IST,IT",2,4.00,6.50,3,3,4,3,GafasVR,A,Fallo,C,Fallo,C,Acierto,B,Acierto,A,Fallo,Para controlar el flujo de bytes de extremo a extremo mediante la ventana anunciada. También sirve para reordenar los segmentos y que no lleguen duplicados,Lo que mas me ha ayudado es ver como viaja los datos de un dispositivo a otro y lo mas confuso son los flags de TCP.,
4/19/2023 12:16:38,"ITT,IST,IT",4,8.00,6.00,3,3,3,3,Diapositivas,B,Acierto,A,Acierto,C,Acierto,A,Fallo,C,Acierto,Permite y facilita a dos máquinas a que se conecten e intercambien flujos de datos.,,"Creo que debido a la mayor complejidad del protocolo TCP, visualizarlo en la animación 3D facilitaría la comprensión."
4/18/2023 11:24:23,ISAM,2,4.00,6.00,3,3,3,3,Animacion3D,C,Fallo,A,Acierto,B,Fallo,C,Fallo,C,Acierto,Ordena los segmentos provenientes del protocolo IP,"No, creo que es más sencillo ver las diapositivas que ver la animación ya que es más cómodo de usar.",
4/18/2023 11:28:07,ISAM,0,0.00,2.50,1,2,1,1,Diapositivas,A,Fallo,C,Fallo,B,Fallo,A,Fallo,A,Fallo,,,yo ceo que si me hubiese ayudado
4/18/2023 11:39:29,ISAM,1,2.00,6.00,3,3,3,3,Diapositivas,B,Acierto,B,Fallo,A,Fallo,A,Fallo,B,Fallo,Transporte fiable y bidireccional de datos,,si
4/18/2023 11:43:32,ISAM,3,6.00,3.00,2,1,1,2,Animacion3D,D,Fallo,A,Acierto,C,Acierto,B,Acierto,,Fallo,Se encarga del envio de datos ,,
4/18/2023 11:50:24,ISAM,5,10.00,6.00,3,3,3,3,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,,,
4/18/2023 11:52:45,ISAM,4,8.00,6.00,4,3,3,2,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,la conexion TCP nos ayuda a crear conexiones en una red de datos dentro de una red de ordenadores.,"Sí, por que pienso que te hace estar mas atento, y rambién puedes parar, para curiosear.",
4/18/2023 11:55:13,ISAM,1,2.00,4.00,2,2,1,3,Animacion3D,D,Fallo,C,Fallo,C,Acierto,D,Fallo,A,Fallo,"nivel de transporte que  se encarga de gobernar el acceso
múltiple a la red de los diversos procesos de la misma máquina
que quieran usarla. TCP está orientado a conexión fiable y segura.",La animación te ayuda a visualizar realmente como es el transporte de los datos. Es un poco lioso el tener que mover la visualización para ver aunque no es una desventaja.,
4/18/2023 11:56:54,ISAM,3,6.00,5.50,3,2,3,3,GafasVR,B,Acierto,C,Fallo,C,Acierto,A,Fallo,C,Acierto,,,
4/18/2023 11:58:01,ISAM,2,4.00,5.00,3,2,2,3,Animacion3D,B,Acierto,A,Acierto,B,Fallo,A,Fallo,A,Fallo,,Han ayudado más porque puedes ver el funcionamiento de una manera mucho más visual.,
4/18/2023 11:58:42,ISAM,4,8.00,3.50,2,2,2,1,Animacion3D,B,Acierto,C,Fallo,C,Acierto,B,Acierto,C,Acierto,Es un conexion fiable y segura,Si,
4/18/2023 12:00:23,ISAM,2,4.00,5.00,3,2,2,3,GafasVR,B,Acierto,,Fallo,C,Acierto,A,Fallo,B,Fallo,Sirve para confirmar el destinatario del paquete de datos ,"Siendo sinceros si que me ha ayudado a poder ver mejor y entenderlo, y me ha ayudado a poder responder algunas de las preguntas anteriores, lo que mas confuso me ha rasultado ha sido la velocidad de la animación que no te da tiempo a mirar todo a la primera y  te puedes perder muy facilmente.",
4/18/2023 12:02:34,ISAM,3,6.00,4.50,2,3,2,2,GafasVR,B,Acierto,A,Acierto,C,Acierto,C,Fallo,B,Fallo,,"Me parece una experiencia que ayuda a entender mejor el protocolo TCP, pero como critica constructiva pondria las animaciones mas lentas, ya que a veces no da tiempo a pararlo para poder verlo.",
4/18/2023 12:03:43,ISAM,0,0.00,4.00,2,2,2,2,GafasVR,A,Fallo,D,Fallo,A,Fallo,A,Fallo,B,Fallo,"TCP utiliza segmentos para determinar si el sistema de recepción está listo para recibir los datos. Cuando el protocolo TCP de envío desea establecer conexiones, envía un segmento denominado SYN al protocolo TCP del host de recepción. Se llama cliente al lado que envía el primer SYN, y servidor al otro lado. Normalmente el cliente enviará el primer FIN, pero podría ser al revés.",Sí me ha ayudado. Los recursos visuales y auditivos son aspectos positivos que resaltar. La única pega que le encuentro es que la gafa es pesada y a veces los textos se ven borrosos si no la sujetas levemente para que esté bien calibrado el campo de visión de la lente.,
4/18/2023 12:03:53,ISAM,2,4.00,6.00,3,3,3,3,GafasVR,B,Acierto,C,Fallo,C,Acierto,A,Fallo,A,Fallo,Para poder recibir y mandar mensajes entre las máquinas que tienen conexión TCP.,"Considero que me ha ayudado para responder las preguntas, sobre todo gracias a la segunda simulación.  ",
4/18/2023 12:05:08,ISAM,4,8.00,4.50,2,2,2,3,Animacion3D,B,Acierto,A,Acierto,C,Acierto,A,Fallo,C,Acierto,"sirve como medida de seguridad (creo, no se me ocurren más usos) ",Sí considero que me ha servido ya que es más visual todo.,
4/18/2023 12:05:11,ISAM,1,2.00,3.00,2,2,1,1,Animacion3D,D,Fallo,A,Acierto,B,Fallo,A,Fallo,A,Fallo,,,
4/18/2023 12:06:26,ISAM,3,6.00,4.00,2,2,2,2,Animacion3D,B,Acierto,C,Fallo,C,Acierto,C,Fallo,C,Acierto,"Sirve para transmitir datos de una máquina a otra, o de una máquina a un servidor, de manera fiable: asegura que el mensaje ha llegado ya que espera la confirmación o ACK hasta continuar con el intercambio de datos. ","Como forma de visualizar el intercambio de mensajes me ha ayudado, pero por ejemplo, a la hora de entender como funciona el nº de asentimiento me ha resultado un tanto confuso.",
4/18/2023 12:07:22,ISAM,4,8.00,7.00,3,4,3,4,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,Sirve para enviar información entre puertos específicos de dos máquinas. Su ventaja es que hay confirmación de la llegada de la información,"Creo que sí, ya que se trata de conceptos algo abstractos y el verlo ''de verdad'', ayuda a visualizarlo y a entenderlo mejor.",
4/18/2023 12:07:24,ISAM,2,4.00,7.00,3,4,4,3,Animacion3D,C,Fallo,D,Fallo,C,Acierto,A,Fallo,C,Acierto,"El establecimiento de conexión TCP se usa con el proposito de intercambiar datos entre un emisor y un receptor por el cual se usa el metodo de pregunta repuesta por el cual se hace el proceso TCP
",,"Yo creo que lo habria respuesta de la misma forma que viéndolo en la animación en 3D 
"
4/18/2023 12:07:35,ISAM,5,10.00,5.00,2,2,3,3,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Al establecerse una conexión se elige un número de secuencia
inicial (ISN) para que no se puedan confundir segmentos aún en tránsito de una
conexión antigua y que no se puedan predecir",,"En el experimento anterior como en mi caso yo experimente las 2 partes, a mi parecer a la hora de ver la animación no solo es mas interactivo, más dinámico y menos tedioso que leer las diapositivas, pero tambien te puede aclarar posibles dudas ya que puedes ver el contenido de cada paquete y se puede entender un poco mejor."
4/18/2023 12:07:40,ISAM,4,8.00,6.50,3,4,3,3,Diapositivas,B,Acierto,B,Fallo,C,Acierto,B,Acierto,C,Acierto,Para recibir y mandar mensajes entre maquinas.,,prefiero la simulacion ya que lo muestra más claro y sencillo
4/18/2023 12:07:55,ISAM,4,8.00,4.00,2,2,2,2,Diapositivas,B,Acierto,B,Fallo,C,Acierto,B,Acierto,C,Acierto,Para mandar y recibir mensajes de manera segura entre máquinas con la misma conexión,,Me hubiera ayudado más el haber visto la animación
4/18/2023 12:08:35,ISAM,0,0.00,6.00,3,3,3,3,Diapositivas,D,Fallo,C,Fallo,A,Fallo,C,Fallo,B,Fallo,Sirve para que se puedan enviar datos desde un PC a otro desde los puertos correspondientes asignados para cada computador.,,Si hubiera sido más satisfactorio y me hubiera enterado de manera más fructifera siendo más eficaz
4/18/2023 12:10:02,ISAM,5,10.00,4.00,2,2,1,3,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Sirve para que dos maquinas puedan comunicarse y enviarse grandes cantidades de datos entre si sin que pueda haber granades errores a través de sus puertos, que estan conectados gracias al protocolo tcp.","Considero, que después de haber estado en los tres puestos, la anuimación 3d es lo que mas me ha ayudado a comprender realmente como funcionan las conexiones(aunque tcp no tenga que ver nada con ip/arp)",
4/18/2023 12:11:00,ISAM,4,8.00,8.00,4,4,4,4,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,Para asegurar la conexion entre las maquinas y determinar el tamaño maximo de los paquetes de la conexion para que no se eliminen ni se fragmente el paquete,,"Seria mejor si hubiera visto la animacion, en comparacion de otras veces"
4/18/2023 12:12:40,ISAM,3,6.00,2.50,2,1,1,1,GafasVR,B,Acierto,D,Fallo,C,Acierto,B,Acierto,B,Fallo,"Sirve para que los extremos (de los pcs) puedan transmitir y recibir datos
mutuamente","Si me ha ayudado a responder, sobre todo el hecho que la animación va paso a paso lo que va actuando.",
4/18/2023 12:13:13,ISAM,1,2.00,6.50,4,3,3,3,Diapositivas,A,Fallo,B,Fallo,C,Acierto,A,Fallo,B,Fallo,El establecimiento de conexión en TCP sirve para crear conexiones dentro de una red de datos compuesta por redes de computadoras para intercambiar datos,,
4/18/2023 12:14:15,ISAM,3,6.00,2.00,1,1,1,1,Animacion3D,B,Acierto,B,Fallo,C,Acierto,A,Fallo,C,Acierto,,,
4/18/2023 12:18:00,ISAM,4,8.00,6.50,4,3,3,3,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,Sirve para crear conexiones dentro de una red de datos que a su vez esta esta compuesta por redes de computadoras con la intención de intercambiar datos entre ellas,,
4/18/2023 12:37:11,ISAM,5,10.00,4.00,2,2,2,2,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,para que los paquetes no se confundan con los de conexiones anteriores,,"SI tuviese que destacar algo sería la parte de los buffers, que se me ha hecho complicado entender lo que hacen con las diapositivas. Igual visualizándolo en la animación me habría ido mejor pero no sé decir porque no la he visto."
