"Marca temporal","Degree","ACIERTOS","Grade","Perception","V1_0_10","V2_0_10","V3_0_10","V4_10_10","V5_0_10","V6_0_10","V7_0_10","VALORA1","VALORA2","VALORA3","VALORA4","VALORA5","VALORA6","VALORA7","Visualization","P1","R_P1","P2","R_P2","P3","R_P3","P4","R_P4","P5","R_P5","P6","R_P6","P7","R_P7","P8","R_P8","P9","R_P9","P10","R_P10","P11","R_P11","P12","R_P12","P13","R_P13","P14","R_P14","P15","APRENDIZAJE1","APRENDIZAJE2"
3/8/2023 11:56:33,"TE",5,3.85,8.57,10.00,2.50,10.00,10.00,10.00,7.50,10.00,5,2,5,5,5,4,5,"3DAnimation","B","Fallo","B","Acierto","D","Acierto","B","Fallo","D","Acierto","A","Fallo","B","Fallo","B",,"B","Fallo","A","Fallo","B","Acierto","B","Acierto","A","Fallo","A","Fallo","Recibe el datagrama IP, junto un ARP de solicitud y de request mutuo entre pc1 y r1. SI las rutas de encaminamiento estan correctas mandarian un ARP request para preguntar por dicha direccion y recibiria respuesta. reenviando dicho paquete 
SI hiciesemos una captura por ejemplo en el propio r1 podremos ver que recibe en total 6 paquete 4 de ellos de ARP tanto de request como de reply y 2 de ICMP ","Es mas dinamico enseñar de esta manera ya que se ve mas dinamico y mas sencillo de comprender. Me ha parecido confuso que no aparecian las nuevas rutas de encaminamiento. Es mas sencillo controlarlo con el ordenador que con las gafas a mi parecer no te mareas tanto.",
3/8/2023 11:56:38,"TE",5,3.85,2.14,2.50,2.50,0.00,2.50,5.00,2.50,0.00,2,2,1,2,3,2,1,"3DAnimation","A","Fallo","C","Fallo","D","Acierto","B","Fallo","B","Fallo","C","Acierto","B","Fallo","C",,"B","Fallo","C","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto","R1 se encarga de enviar dicha información a pc1, pc2, pc3 y pc4.","Sí, ya que es una manera que te permite visualizarlo mejor. Ves como se va enviando la información de manera más clara.
",
3/8/2023 11:56:43,"TE",10,7.69,6.43,7.50,7.50,7.50,5.00,7.50,5.00,5.00,4,4,4,3,4,3,3,"VR","C","Acierto","B","Acierto","D","Acierto","B","Fallo","D","Acierto","C","Acierto","D","Acierto","A",,"A","Fallo","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","r1 recibe por eth0 la trama Ethernet dirigida hacia pc4
r1 envia la trama a la direccion Ethernet de la IP 101.0.0.3 (eth0, y le llega a r3)
r3 envia la trama hacia eth1 y por estar conectado a un hub, le llega a pc4
pc4 responde a traves del gateway 102.0.0.2 (porque el destino de la trama de respuesta es 100.0.0.0 /24)
la trama de pc4 le llega a r2, y este lo envia a traves del gateway 101.0.0.1 (lo envia por la entrada por defecto)
la trama le llega a r1, y como el destino es 100.0.0.0 con mask /24, lo envia a traves de eth0, y por estar conectado a un hub, le llega a pc1 la respuesta","SI, considero que me ha ayudado. Porque tenía la posibilidad de parar la animacion y de ver los cambios en las cabeceras y los cachees de ARP",
3/8/2023 11:57:04,"TE",5,3.85,2.14,2.50,2.50,0.00,0.00,5.00,5.00,0.00,2,2,1,1,3,3,1,"3DAnimation","C","Acierto","B","Acierto","B","Fallo",,"Fallo","D","Acierto","C","Acierto","C","Fallo","B",,"B","Fallo","B","Fallo",,"Fallo",,"Fallo","A","Fallo","B","Acierto",,"Me ha ayudado, pero no entendía muchas cosas por mi falta de conocimiento. Creo que es muy útil si ya conoces ciertas cosas.",
3/8/2023 11:57:13,"TE",4,3.08,1.43,2.50,0.00,2.50,0.00,2.50,0.00,2.50,2,1,2,1,2,1,2,"3DAnimation","A","Fallo","C","Fallo","B","Fallo","D","Fallo","D","Acierto","C","Acierto","A","Fallo","A",,"B","Fallo","D","Acierto","A","Fallo","A","Fallo","D","Acierto","A","Fallo","R1 una vez recibe la información la reenvía por eth1 hacia R2 para que así pueda recibirlo pc4 que es el destinatario ","A medias, te ayuda a visualizarlo mejor pero mis conocimientos son escasos.",
3/8/2023 11:58:24,"TE",4,3.08,0.71,0.00,0.00,0.00,0.00,2.50,0.00,2.50,1,1,1,1,2,1,2,"3DAnimation","A","Fallo","D","Fallo","B","Fallo","C","Fallo","C","Fallo","C","Acierto","D","Acierto","C",,"B","Fallo","D","Acierto","A","Fallo","A","Fallo","D","Acierto","A","Fallo","Vuelve a reenviar a PC1 Y PC2, a continuación PC1 lo procesa y vuelve a enviar el paquete a R1, que lo envía a PC3 R2 y R3, siendo otra vez enviado a R1, el cuál al final R2 lo envía a PC4.","Está bien , mejor.",
3/8/2023 11:59:35,"TE",6,4.62,4.29,5.00,5.00,5.00,2.50,5.00,2.50,5.00,3,3,3,2,3,2,3,"3DAnimation","B","Fallo","B","Acierto","A","Fallo","B","Fallo","D","Acierto","C","Acierto","B","Fallo","A",,"D","Fallo","C","Fallo","B","Acierto","D","Fallo","D","Acierto","B","Acierto","R1 recibe el mensaje request y lo vuelve a enviar a pc1 dónde se aprende la direccion de r1 y viceversa , pc1 envia el mensaje reply a r1. R1 envia el mensaje request a r2 y r3 q se encargaran de llevarlo a pc4 , cuando le quegue el mensaje request d vuelta mandaraa el reply por r2 y r3 . Despues le llegara el reply de de pc4 y lo enviara a pc1.","Si, ayuda a ver visualmente el camino que recorren los mensjaes y que no sea tan abstracto","SI , las gafas ayudan a mejorar la vision."
3/8/2023 11:59:38,"TE",6,4.62,7.50,5.00,7.50,5.00,7.50,10.00,7.50,10.00,3,4,3,4,5,4,5,"3DAnimation","D","Fallo","B","Acierto","B","Fallo","B","Fallo","D","Acierto","C","Acierto","C","Fallo","B",,"A","Fallo","B","Fallo","B","Acierto","D","Fallo","D","Acierto","B","Acierto","En primer lugar, r1 recibe por eth0 la trama Ethernet que contiene el datagrama IP dirigido a PC4. Comprueba su campo CRC para ver que no contenga ningún error en su trama. Guarda en su tabla de encaminaciento la dirección de dónde se encuentra PC1 y pregunta por su interfaz eth1 por la ubicación de pc4; la cual también guarda en su tabla de encaminamiento. Por último, lo envía al hub de su interfaz eth1.","Sí, ya que puedes visualizar en tu mente cómo es todo el proceso. Con palabras es más costoso de imaginar.",
3/8/2023 12:00:01,"TE",7,5.38,5.71,7.50,2.50,7.50,0.00,7.50,7.50,7.50,4,2,4,1,4,4,4,"VR","A","Fallo","B","Acierto","A","Fallo","C","Fallo","C","Fallo","C","Acierto","A","Fallo","B",,"D","Fallo","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","r1 recibe de pc1 la trama ordenada para ser enviada a pc4, ésta pasa a través del hub1. Una vez realizado este proceso, r1 aprende la nueva dirección del próximo r3 para poder enviar la trama.","No encuentro nada confuso, todo me parece correcto.",
3/8/2023 12:00:35,"TE",8,6.15,5.00,5.00,2.50,5.00,5.00,7.50,5.00,5.00,3,2,3,3,4,3,3,"VR","C","Acierto","B","Acierto","B","Fallo","D","Fallo","D","Acierto","C","Acierto","C","Fallo","D",,"C","Acierto","C","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto","r1 envía la trama, que pasa por el hub y se lo envía a pc3, y pasando por r2 y r3, pasan por el hub y se lo mandan a pc4 que lo recxibe el mensaje, lo manda de vuelta, y lo mismo hasta que va a r1 y se lo devuelve a pc1","Un poco, pero no tanto ya que es dificil con tantos mensajes entenderlo completamente",
3/8/2023 12:00:40,"TE",7,5.38,3.93,2.50,2.50,7.50,5.00,2.50,5.00,2.50,2,2,4,3,2,3,2,"Slides","B","Fallo","B","Acierto","D","Acierto",,"Fallo","D","Acierto","A","Fallo","C","Fallo","A",,"C","Acierto","D","Acierto","C","Fallo","B","Acierto","D","Acierto","A","Fallo","r1 se aprende la dirección de pc1 y le responde, luego se lo envía a su interfaz eth1. Antes de enviar la trama, r1 envia un arp para buscar la dirección a la que tiene que recibir la trama, y una vez la confirma, se la envía",,"Creo que en clase se ha explicado bastante bien el proceso estudiado, pero puede que la animación refuerce lo explicado al ser más visual, y ayude a entender los pasos más complejos."
3/8/2023 12:00:47,"TE",5,3.85,6.07,10.00,7.50,5.00,2.50,7.50,7.50,2.50,5,4,3,2,4,4,2,"Slides","C","Acierto","B","Acierto","D","Acierto","B","Fallo","D","Acierto",,"Fallo","B","Fallo","A",,"A","Fallo","A","Fallo","A","Fallo","D","Fallo","A","Fallo","B","Acierto",,,"Sí, me hubiese ayudado más a responder las preguntas, ya que, al ser un método visual, siempre es más fácil captar los conceptos que simplemente leyendo. Aunque, creo que es conveniente hacer un estudio previo, leyendo y estudiando las diapositivas y ya, posteriormente, estudiarlo de una manera más visual (animación 3D)"
3/8/2023 12:01:18,"TE",5,3.85,4.29,5.00,5.00,2.50,2.50,2.50,5.00,7.50,3,3,2,2,2,3,4,"3DAnimation","A","Fallo","B","Acierto","D","Acierto","A","Acierto","C","Fallo","C","Acierto","B","Fallo","A",,"A","Fallo","B","Fallo","D","Fallo","A","Fallo","A","Fallo","B","Acierto",,"Me ha servido para ver como funcionan los ordenadores de forma directa",
3/8/2023 12:02:58,"TE",11,8.46,7.14,7.50,7.50,7.50,7.50,5.00,7.50,7.50,4,4,4,4,3,4,4,"3DAnimation","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","B","Fallo","D","Acierto","A",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Cuando r1 recibe la trama dirigida hacía pc4, este preguntara con un mensaje ARP a r3, ya que en su tabla de encaminamiento la dirección hacía pc4 debe pasar por r3. Entonces r3 reenvía a pc4 el mensaje ARP a pc4, para saber cual es su dirección ethernet. Pc4 recibirá la trama de pc1. Para devolverla Pc4 la reenviara a través de r2 y este se lo enviará a r1, una vez llegada como r1 ya sabe la dirección de pc1 este recibirá la respuesta.","Creo que es mejor a través de las transparencias por que creo que se ve con más detalle lo que hace cada máquina que en la animaciones. ",
3/8/2023 12:04:29,"TE",9,6.92,7.14,7.50,5.00,7.50,7.50,7.50,5.00,10.00,4,3,4,4,4,3,5,"3DAnimation","C","Acierto","B","Acierto","A","Fallo","B","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"C","Acierto","D","Acierto","B","Acierto","C","Fallo","D","Acierto","B","Acierto","Una vez recibida la trama Ethernet, envia una respuesta al pc1 para que sepa que la direccion que esta buscando esta en una de sus interfaces. Por lo tanto cuando el pc1 ya sabe que la direccion que busca esta ahi le envia el paquete entero que quiere enviar. Despues el r1 procesara el mensaje y como no tienen registrado en el ARP cache. Entonces dejare el mensaje en el r1 y enviara una dirección ARP para buscar la direccion que esta buscando, despues de esto recibe un reply ARP y al recibirlo se guarda la dirección en el cache ARP despues enviara el paquete y cuando ya lo recibe el pc4. Va a recibir el paquete de respuesta al pc1. ","Sí, porque se ve mas claro como se envian los paquetes ","Ayuda mas a verlo"
3/8/2023 12:05:39,"TE",12,9.23,8.93,7.50,10.00,7.50,7.50,10.00,10.00,10.00,4,5,4,4,5,5,5,"VR","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","C","Acierto","D","Acierto","B",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","1º r1 recibe un mensaje APR preguntando por su dirección ethernet y con origen pc1, por lo tanto este envia luego un mensaje ARP de respuesta
2º r1 recibe el ICMP request de pc1 para la dirección ip de pc4, mira su routing table y lo dirije al gateway 101.0.0.3, que es la dirección ip de r3, pero antes debe preguntar la direccion ethernet de r3, enviando y recibiendo mensajes ARP. Entonces es cuando envía el ICMP request.","Personalmente lo entendí mejor detenidamente con las transparencias que con la animación 3D. El único probolema que tiene vuestra animación es la falta de un botón que ejecute solo una parte de la animación y de otro que vuelva una vez hacia atrás. Personalmente prefiero las transparencias que son muy entendibles, y no veo la necesidad de animar cada paso, porque ya se entiende que los ordenadores envían mensajes.",
3/8/2023 12:05:47,"TE",7,5.38,5.00,5.00,7.50,2.50,2.50,7.50,5.00,5.00,3,4,2,2,4,3,3,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","C","Fallo","B","Fallo","D","Acierto","A",,"D","Fallo","D","Acierto","B","Acierto","A","Fallo",,"Fallo","A","Fallo",,,"No he pobrado con las gafas en 3D, pero posiblemente me ayudaría más a quedarme con los diferentes conocimientos a la hora de verlo en 3D como si lo tuviese delante."
3/8/2023 12:07:06,"TE",4,3.08,0.36,0.00,0.00,2.50,0.00,0.00,0.00,0.00,1,1,2,1,1,1,1,"Slides","A","Fallo","B","Acierto","D","Acierto","D","Fallo","C","Fallo","A","Fallo","B","Fallo","A",,,"Fallo","D","Acierto","A","Fallo","B","Acierto","A","Fallo","A","Fallo","r1 recibe la señal de pc1 y lo envia hacia r2 para llegar a pc4",,"si, considero que podria haberme enterado mejor de los conceptos si hubiese usado las animaciones con las gafas 3d"
3/8/2023 12:10:07,"TE",7,5.38,6.79,7.50,7.50,5.00,5.00,7.50,7.50,7.50,4,4,3,3,4,4,4,"3DAnimation","C","Acierto","B","Acierto","C","Fallo","B","Fallo","C","Fallo","C","Acierto","D","Acierto","B",,"C","Acierto","B","Fallo","B","Acierto","C","Fallo","A","Fallo","B","Acierto","cuando r1 recibe la trama procedente de pc1, el r1 manda una solicitud ARP preguntando por la dirección de pc4, cuando este recibe la respuesta decide mandarlo por su interfaz eth1 hacia el r3 que este lo envía a pc4","te ayuda más porque no es tanto texto y no aparece tanto texto",
3/8/2023 12:11:22,"TE",10,7.69,7.14,5.00,7.50,5.00,7.50,10.00,7.50,7.50,3,4,3,4,5,4,4,"VR","C","Acierto","B","Acierto","D","Acierto","B","Fallo","D","Acierto","B","Fallo","C","Fallo","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Lo que ocurre es que r1 lo va enviar por r3, así se deja guardado el mensaje IP y genera una solicitud ARP para preguntar por la dirección Ethernet de r3. Cuando reciba la respuesta del ARP con la dirección Ethernet de r3, entonces rellenará el campo que le falta en el protocolo de Ethernet del mensaje ICMP dirigido a pc4y lo enviará hacia r3 de nuevo para que r3 lo encamine.","La animación 3D considero que es muy visual y que se entiende de manera muy clara como funcionan los mensajes y el contenido que tienen dentro, creo que ayuda bastante para comprender mejor los conceptos y asentarlos correctamente.",
3/8/2023 12:11:47,"TE",7,5.38,6.79,7.50,7.50,5.00,2.50,5.00,10.00,10.00,4,4,3,2,3,5,5,"3DAnimation","C","Acierto","B","Acierto","C","Fallo","A","Acierto","D","Acierto","D","Fallo","C","Fallo","A",,"D","Fallo","B","Fallo","B","Acierto","B","Acierto","D","Acierto","A","Fallo","R1 no conoce la dirección ethernet de pc1 por lo que enviará un arp de respuesta para obtener la direccíon ethernet pc, una vez su dirección ethernet esté en su cache de arp para cuando obtenga respuesta de pc1 y procese que esta en su tabla de encaminamiento finalmente r1 reenvía dicha trama através de su puerto eth1","No mucho, es un poco lioso y no se entiende del todo como funciona todo el proceso claramente",
3/8/2023 12:11:49,"TE",11,8.46,3.93,2.50,2.50,2.50,2.50,7.50,7.50,2.50,2,2,2,2,4,4,2,"VR","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","B","Fallo","D","Acierto","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","A","Fallo","B","Acierto","Guarda la dirección, la aparta y envía una solicitud de ARP por la interfaz eth1 preguntando por la dirección correspondiente a la dirección destino (101.0.0.3). Recibe respuesta de la solicitud y  lo reenvía","Si porque ves el recorrido y como cambian los distintos campos. Resultan de ayuda solo que marea un poco.",
3/8/2023 12:12:01,"TE",11,8.46,4.29,2.50,2.50,7.50,2.50,7.50,7.50,0.00,2,2,4,2,4,4,1,"VR","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","B","Fallo","B","Fallo","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","R1 baja una unidad el TTL. Como ya tiene guardada en la tabla d encaminamiento que los mensajes con IP destino 102.0.0.0, o en nuestro caso 102.0.0.40 los tiene que enviar hacia la Ethernet destino 101.0.0.3, eso hace. ","Es bastante intuitivo, se puede ver bien el orden en el cuál las máquinas montan las cabeceras y ayuda mucho.",
3/8/2023 12:13:26,"TE",6,4.62,6.43,7.50,5.00,7.50,5.00,5.00,7.50,7.50,4,3,4,3,3,4,4,"VR","C","Acierto","B","Acierto","C","Fallo","B","Fallo","C","Fallo","B","Fallo","D","Acierto","A",,"D","Fallo","D","Acierto","C","Fallo","A","Fallo","D","Acierto","B","Acierto","El router recibe la trama Ethernet proveniente de eth0, al recibirla envía una solicitud de ARP al router 3, este al recibirla envía una respuesta a esa solicitud y el router 1 envía la trama por el router 3. Este router lo envía al hub contiguo y el hub lo envía a pc4. Después de esto el pc4 emite una repuesta y envía una solicitud ARP al router 3. Este la recibe y envía una respuesta a pc4. Tras esto, el pc4 envía la trama a través del router 3 y este envía la trama y llega al router 1.","Si, al poder ver la animación y parar en todo momento el envío del mensaje he podido enterarme más de lo que ocurría en ese escenario.",
3/8/2023 12:15:48,"TE",8,6.15,6.07,7.50,7.50,5.00,0.00,7.50,7.50,7.50,4,4,3,1,4,4,4,"Slides","C","Acierto","B","Acierto","D","Acierto","C","Fallo","C","Fallo","C","Acierto","B","Fallo","B",,"B","Fallo","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Primero apuntará la dirección del pc1 en su memoria (caché ARP), a continuación, enviará un mensaje por eth1 preguntando por la dirección del pc4.",,"No, ya que la animación 3D me personalmente no me ayuda."
3/8/2023 12:16:13,"TE",9,6.92,8.57,10.00,7.50,7.50,10.00,10.00,7.50,7.50,5,4,4,5,5,4,4,"Slides","C","Acierto","B","Acierto","D","Acierto","B","Fallo","C","Fallo","C","Acierto","B","Fallo","A",,"C","Acierto","D","Acierto","B","Acierto","A","Fallo","D","Acierto","B","Acierto","Al recibir la trama Ethernet procedente de pc1, r1 operaría el CRC y si no detecta errores vería si la dirección Ethernet es la suya. Siendo el caso, descarta las cabeceras Ethernet y resta 1 al TTL. Después comprueba si la dirección IP destino es la suya. Como no, al ser un router, compara la dirección IP destino con los datos de su tabla de encaminamiento. No encuentra una conexión directa a pc4, pero sí a su red, por lo que prepara nuevas cabeceras Ethernet para mandarle el mensaje a r3 por eth1. Al desconocer la dirección Ethernet del puerto eth0 de r3, r1 se guarda la trama incompleta y manda una solicitud de ARP con una dirección Ethernet destino de broadcast, y espera la respuesta. Una vez recibida la respuesta del puerto eth0 de r3, r1 ya completa las cabeceras Ethernet del paquete y lo manda por su interfaz eth1.",,"No creo que haya podido responder mejor, pero creo que las animaciones 3D ayudan a mantener la atención y ver el funcionamiento de la red en movimiento. La experiencia de prueba con las gafas VR fue muy satisfactoria. Me hace sentir inmerso en la materia .
Eso sí...La Realidad Virtual puede ser un poco molesta para los ojos si se usa en intervalos prolongados de tiempo, y debería usarse en entornos calmados y espaciosos ya que acapara todo el campo visual de la persona."
3/8/2023 12:16:55,"TE",12,9.23,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5,5,5,5,5,5,5,"VR","C","Acierto","B","Acierto","D","Acierto","B","Fallo","D","Acierto","C","Acierto","D","Acierto","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Primero, r1 procesa la trama ethernet por ser su destinatario, mira el protocolo encapsulado en la trama y, al ser IPv4, lo pasa al software del protocolo IPv4. Luego de analizar los campos del datagrama IP, ve que su dirección IP destino no es ninguna de sus direcciones IP, pero como es un router, mirará en su tabla de enrutamiento para reenviar el datagrama. Al mirar no encontrará ninguna coincidencia exacta con la IP del datagrama (102.0.0.40), pero encuentra que la red 102.0.0.0/24 se puede encaminar por el gateway 101.0.0.3. Entonces, r1 resta 1 el valor del TTL del datagrama, quedando con el valor 63, y encapsula el datagrama en un trama con la dirección Ethernet de su interfaz eth0. Al añadir la dirección Ethernet destino de la trama, comprueba su caché ARP por si tiene la dirección MAC asociada a la dirección IP 101.0.0.3. Como no la tiene, crea un paquete ARP request preguntando por la dirección MAC de 101.0.0.3. Esa petición ARP la envía por su interfaz eth1, que recibirán pc3, r2 y r3. Al procesar la petición ARP, solamente responderá r3 a la petición ARP. Cuando r1 recibe la respuesta ARP, añade a su caché ARP que la dirección IP 101.0.0.3 tiene asociada la dirección MAC 00:1c:42:00:00:02. Una vez que ha terminado con la petición ARP, vuelve a consultar la tabla, y como ahora conoce la dirección MAC de 101.0.0.3, añade esa dirección MAC al campo dirección destion de la trama Ethernet que contiene el datagrama IP de pc1. Finalmente, teniendo completada la trama, la envía por su interfaz eth1.  ","Si considera que me haya ayudado. El principal aspecto que me ha ayudado es el de parar y reanudar la animación. Esto me ha permitido analizar detalladamente los paquetes en cada momento, asentando los pasos que realiza cada equipo. Otros detalles que me han ayudado es la visualización del encapsulamiento, el por donde viaja el paquete y que hace cada equipo cuando recibe un paquete. Esto último me ha permitido aclarar que sucede con la caché ARP cuando un equipo recibe una petición de la que su dirección IP no es la preguntada.  ",
